piloto_id,booking_id,fecha_recaudo,monto,fecha_abono,fecha_saldado
P114,8329665818357f709df82a3e,2026-07-27 20:42:00,85000,2026-07-27 20:42:45,2026-07-27 20:42:45
P114,ff8caf2d039188128972003b,2026-08-09 12:39:00,48000,2026-08-09 12:39:27,2026-08-09 12:39:27
P117,4b9d04c94f786da341357d0d,2026-07-07 14:46:00,48000,2026-07-07 14:46:12,2026-07-07 14:46:12
P117,5ebfac344598437cefab939d,2026-07-06 17:40:00,150000,2026-07-06 17:40:31,2026-07-06 17:40:31
P118,04f53b2335ed1a430c014631,2026-07-05 18:13:00,62000,2026-07-05 18:13:10,2026-07-05 18:13:10
P118,180a7df51352f77fe803f802,2026-08-12 12:35:00,150000,2026-08-12 12:35:50,2026-08-12 12:35:50
P118,27c4b12f928a3afa3e064ec7,2026-08-23 13:11:00,120000,2026-08-23 13:11:08,2026-08-23 13:11:08
P120,f95a806029440f5f08bc1095,2026-08-24 15:33:00,120000,2026-08-24 15:33:31,2026-08-24 15:33:31
P120,fa76d117cc35b1e16fa97197,2026-08-09 14:18:00,120000,2026-08-09 14:18:23,2026-08-09 14:18:23
P120,d222dd645be19d7ee1620272,2026-08-24 19:06:00,150000,2026-08-24 19:06:08,2026-08-24 19:06:08
P120,fe5d85af10aa02205fda43cb,2026-07-14 11:23:00,210000,2026-07-14 11:23:33,2026-07-14 11:23:33
P121,04e564847e97a4e36c517ed9,2026-07-26 18:41:00,62000,2026-07-26 18:41:25,2026-07-26 18:41:25
P121,f4f4f5ae95a2007ff93c3a10,2026-08-03 13:16:00,85000,2026-08-03 13:16:17,2026-08-03 13:16:17
P121,84ccd1120206911bb5d5c4f0,2026-07-20 07:15:00,35000,2026-07-20 07:15:23,2026-07-20 07:15:23
P121,81964994617171b11a2135cd,2026-07-07 14:39:00,62000,,
P125,baca1bada73e32f548c1c1ad,2026-08-06 10:19:00,85000,2026-08-06 10:19:35,2026-08-06 10:19:35
P125,881421599721b9dc0ef63215,2026-08-22 15:49:00,150000,2026-08-22 15:49:34,2026-08-22 15:49:34
P125,d7640dfec72afd6bc103aa0e,2026-08-27 08:05:00,150000,2026-08-27 08:05:31,2026-08-27 08:05:31
P125,886dbd28f3d07cb99675474a,2026-08-03 19:30:00,120000,2026-08-03 19:30:15,2026-08-03 19:30:15
P125,f08a1fc87f3b5f8c89239625,2026-07-21 14:44:00,35000,2026-07-21 14:44:31,2026-07-21 14:44:31
P127,2b7fe9f28e8a6baac3d63f42,2026-07-28 16:44:00,62000,2026-07-28 16:44:21,2026-07-28 16:44:21
P127,e250106c7129d082bcaa2533,2026-07-28 20:21:00,120000,2026-07-28 20:21:37,2026-07-28 20:21:37
P127,51302dcefaf4718db224f213,2026-08-11 19:11:00,150000,2026-08-11 19:11:15,2026-08-11 19:11:15
P127,489516e7b2f3f633ee2d67f9,2026-08-11 14:05:00,35000,2026-08-11 14:05:25,2026-08-11 14:05:25
P127,7942b327cefddd8264beffe9,2026-08-10 19:03:00,35000,2026-08-10 19:03:43,2026-08-10 19:03:43
P128,afac2b00d4e00da22a113cb6,2026-08-15 15:02:00,35000,2026-08-15 15:02:18,2026-08-15 15:02:18
P128,49834370f296d64bddbf75e8,2026-07-03 08:49:00,35000,2026-07-03 08:49:47,2026-07-03 08:49:47
P128,28b283182bbf5e9bbbded13d,2026-08-10 19:03:00,210000,2026-08-10 19:03:33,2026-08-10 19:03:33
P128,5f4725eca11d87ac4032c129,2026-07-09 08:07:00,62000,2026-07-09 08:07:15,2026-07-09 08:07:15
P129,67426cbd3ed28b1c776a7192,2026-07-14 18:42:00,150000,2026-07-14 18:42:22,2026-07-14 18:42:22
P129,9b13ed7005769cdbc0706e81,2026-07-09 11:09:00,120000,2026-07-09 11:09:16,2026-07-09 11:09:16
P129,cef973cb1b0a2f9199a4bf74,2026-08-05 14:31:00,120000,2026-08-05 14:31:12,2026-08-05 14:31:12
P129,5601b4f93882df4b227a10b9,2026-08-13 15:57:00,210000,2026-08-13 15:57:26,2026-08-13 15:57:26
P131,ad91e45838749541a549294a,2026-07-12 16:29:00,85000,2026-07-12 16:29:28,2026-07-12 16:29:28
P131,28516d35570e12ac951d03a0,2026-07-21 14:16:00,62000,2026-07-21 14:16:48,2026-07-21 14:16:48
P131,292378199ca27d62445b763d,2026-07-10 19:13:00,85000,,
P133,e829a5f9a07a492e126aeaa6,2026-07-22 18:11:00,85000,2026-07-22 18:11:44,2026-07-22 18:11:44
P133,a73592ea9690ff8647e2be98,2026-07-14 18:45:00,85000,2026-07-14 18:45:49,2026-07-14 18:45:49
P133,26937fd981863086a583ba8f,2026-07-14 09:17:00,48000,2026-07-14 09:17:11,2026-07-14 09:17:11
P133,190a685be40ec099ef3e1546,2026-08-17 11:00:00,120000,2026-08-17 11:00:28,2026-08-17 11:00:28
P135,d8823b06a8e130f785b80578,2026-08-28 15:47:00,62000,2026-08-28 15:47:15,2026-08-28 15:47:15
P135,be27c06d04a7e59daa5d02a7,2026-08-07 09:43:00,48000,2026-08-07 09:43:26,2026-08-07 09:43:26
P135,01943815b587e715665a3b46,2026-07-07 07:48:00,150000,,
P136,1272767f8b4f8e7b4dc5fffd,2026-07-10 19:54:00,85000,2026-07-10 19:54:46,2026-07-10 19:54:46
P181,a9b63c3e92b99bbab7bf9e17,2026-07-15 20:42:00,62000,2026-07-15 20:42:16,2026-07-15 20:42:16
P181,c4873ab744644458e39aa49c,2026-08-04 19:57:00,150000,2026-08-04 19:57:40,2026-08-04 19:57:40
P182,ee4677f504554cc3b27ed7c6,2026-07-28 09:48:00,62000,2026-07-28 09:48:26,2026-07-28 09:48:26
P182,0142325a6d4fb0cf0d92b185,2026-07-06 07:37:00,150000,,
P185,7e8d6c309757661d7290eb30,2026-08-18 14:20:00,48000,2026-08-18 14:20:43,2026-08-18 14:20:43
P185,3532a55d92f61df278a006e0,2026-07-16 11:28:00,48000,2026-07-16 11:28:08,2026-07-16 11:28:08
P185,2fe01fc1be7a09c35fb8ad7f,2026-08-06 14:07:00,62000,2026-08-06 14:07:32,2026-08-06 14:07:32
P186,8369474141f3da66f779a017,2026-07-03 20:23:00,210000,2026-07-03 20:23:09,2026-07-03 20:23:09
P186,f21bb7433686414c69aefde4,2026-08-04 15:17:00,210000,2026-08-04 15:17:33,2026-08-04 15:17:33
P188,db779d5e0b6db9afe0bb84d3,2026-08-12 09:12:00,35000,2026-08-12 09:12:09,2026-08-12 09:12:09
P188,741d04a1efc02836c9f597ef,2026-08-24 16:59:00,210000,2026-08-24 16:59:09,2026-08-24 16:59:09
P188,bebfc0be04c02805aa556294,2026-08-21 12:45:00,62000,2026-08-21 12:45:43,2026-08-21 12:45:43
P188,0c4a3bc1f64e43320e2fc853,2026-07-25 18:28:00,210000,2026-07-25 18:28:21,2026-07-25 18:28:21
P188,eed1af79e95d8978fca8020f,2026-08-15 10:01:00,85000,2026-08-15 10:01:22,2026-08-15 10:01:22
P188,67dd9362a701fc0a0e46cb0a,2026-07-07 13:06:00,35000,2026-07-07 13:06:25,2026-07-07 13:06:25
P188,3f65d2c1582f28f34b3af5ff,2026-08-20 08:59:00,35000,2026-08-20 08:59:38,2026-08-20 08:59:38
P191,06ff67b0bbdddbc98d839ee2,2026-08-13 12:18:00,150000,2026-08-13 12:18:40,2026-08-13 12:18:40
P194,9873b9b5639f0f93b7de7243,2026-07-08 08:24:00,150000,2026-07-08 08:24:27,2026-07-08 08:24:27
P194,ed1cdd1ef752cef8ad5d255e,2026-07-12 13:30:00,48000,2026-07-12 13:30:47,2026-07-12 13:30:47
P194,1d51912be67dac10e0a2f0de,2026-08-13 10:36:00,62000,2026-08-13 10:36:28,2026-08-13 10:36:28
P194,f1aa534591c128b276adaaf0,2026-07-14 16:19:00,48000,2026-07-14 16:19:24,2026-07-14 16:19:24
P194,5ec7d70996ba9a4a6e2310f9,2026-08-07 15:43:00,120000,2026-08-07 15:43:25,2026-08-07 15:43:25
P194,d4a2ec910eda5683c097aa01,2026-08-06 19:03:00,85000,2026-08-06 19:03:09,2026-08-06 19:03:09
P194,38a3b1349f809f40c8ad3d9b,2026-08-28 10:57:00,120000,2026-08-28 10:57:11,2026-08-28 10:57:11
P194,e50a704b98222c43c0bf5699,2026-07-12 17:15:00,62000,2026-07-12 17:15:41,2026-07-12 17:15:41
P194,e50abd2720d1a19e80017f4c,2026-07-06 11:07:00,35000,,
P195,b945fd7f0d86f4376256dfcd,2026-08-08 07:19:00,210000,2026-08-08 07:19:11,2026-08-08 07:19:11
P195,39ec2c76728226b5cca7da4e,2026-08-25 10:54:00,48000,2026-08-25 10:54:37,2026-08-25 10:54:37
P195,4e1b80245297b474007ee126,2026-08-12 11:48:00,35000,2026-08-12 11:48:08,2026-08-12 11:48:08
P195,82fc1287a8cce55938253514,2026-07-04 08:10:00,150000,2026-07-04 08:10:24,2026-07-04 08:10:24
P196,83a3d5dd25fd19703f276aa4,2026-08-15 20:06:00,210000,2026-08-15 20:06:29,2026-08-15 20:06:29
P196,0d0c76ec94e74d7db8410809,2026-08-22 07:34:00,150000,2026-08-22 07:34:09,2026-08-22 07:34:09
P196,54c2addc14e60ede5738abcb,2026-07-20 07:06:00,35000,2026-07-20 07:06:50,2026-07-20 07:06:50
P196,64bc2f940e5597848c665bfc,2026-07-02 17:10:00,120000,2026-07-02 17:10:48,2026-07-02 17:10:48
P196,fc2d43628a696738ee764b2c,2026-07-19 16:16:00,150000,2026-07-19 16:16:48,2026-07-19 16:16:48
P196,16054f9f73b5a0b630f41d05,2026-07-08 07:10:00,210000,2026-07-08 07:10:20,2026-07-08 07:10:20
P196,063412051515b7b76fa455b5,2026-07-07 15:31:00,62000,2026-07-07 15:31:25,2026-07-07 15:31:25
P196,b74074ab8f19610f50d22422,2026-07-01 07:05:00,85000,2026-07-01 07:05:21,2026-07-01 07:05:21
P197,1f11c76128c02ff0c4eea236,2026-07-20 16:07:00,35000,2026-07-20 16:07:29,2026-07-20 16:07:29
P197,fa234aac3311ca44ce8db97f,2026-07-03 17:15:00,210000,2026-07-03 17:15:44,2026-07-03 17:15:44
P198,4d901472f015ddab597b75c3,2026-08-19 07:13:00,62000,2026-08-19 07:13:38,2026-08-19 07:13:38
P198,173c1358b1438797f3d7e74c,2026-08-14 18:55:00,62000,2026-08-14 18:55:28,2026-08-14 18:55:28
P198,aec6a59dce741a814cf5f1fa,2026-07-11 17:23:00,120000,2026-07-11 17:23:16,2026-07-11 17:23:16
P198,952766a258325f0983563a93,2026-07-15 09:31:00,48000,2026-07-15 09:31:34,2026-07-15 09:31:34
P198,f51aa875284bbb9e0543f355,2026-07-24 08:16:00,120000,2026-07-24 08:16:36,2026-07-24 08:16:36
P198,9bfb74a2132f65696daaa401,2026-07-27 19:24:00,210000,2026-07-27 19:24:06,2026-07-27 19:24:06
P198,bfdad38d1a07f49be22cc373,2026-07-27 10:32:00,35000,,
P200,f62d222616ccdf0925c8864d,2026-08-11 16:40:00,150000,2026-08-11 16:40:48,2026-08-11 16:40:48
P200,7ecd5b2bad0beab8a147d40a,2026-07-03 14:44:00,85000,,
P202,21fcdf9ac1b9e996b48c5895,2026-08-21 11:49:00,210000,2026-08-21 11:49:40,2026-08-21 11:49:40
P202,869396eca7120d9e25601d05,2026-08-25 14:56:00,150000,2026-08-25 14:56:17,2026-08-25 14:56:17
P202,2847f421a5ccc4c8e72b999c,2026-08-02 08:59:00,150000,2026-08-02 08:59:50,2026-08-02 08:59:50
P202,457b24f125f4f10825d4b103,2026-07-01 18:29:00,120000,2026-07-01 18:29:19,2026-07-01 18:29:19
P202,cb8bf390d75706b026b86251,2026-07-17 13:11:00,85000,2026-07-17 13:11:50,2026-07-17 13:11:50
P202,898bf62f33fb8a2c921afd5a,2026-07-14 16:52:00,35000,2026-07-14 16:52:46,2026-07-14 16:52:46
P202,559b945f306925871a7422a4,2026-07-23 15:56:00,120000,2026-07-23 15:56:50,2026-07-23 15:56:50
P202,f81aad2b3f00f455d4051c6c,2026-08-02 07:44:00,48000,2026-08-02 07:44:48,2026-08-02 07:44:48
P205,cb2a607ee87816e0b4575ba1,2026-07-22 08:23:00,85000,2026-07-22 08:23:10,2026-07-22 08:23:10
P205,1fda75c4cb55a600a5d07c65,2026-07-08 13:12:00,85000,2026-07-08 13:12:25,2026-07-08 13:12:25
P205,dc8eca959c01b84d807e1816,2026-08-12 13:52:00,150000,2026-08-12 13:52:26,2026-08-12 13:52:26
P205,3923f73b85c1ef45b040b216,2026-08-24 13:49:00,120000,2026-08-24 13:49:40,2026-08-24 13:49:40
P205,c8f0e1b9ff2ffb42dd4f4f42,2026-08-09 09:59:00,120000,2026-08-09 09:59:31,2026-08-09 09:59:31
P205,2bb381b89491e1ed6550ab2c,2026-07-15 11:06:00,120000,2026-07-15 11:06:07,2026-07-15 11:06:07
P205,7577b26a267aaae817c811a3,2026-08-12 07:17:00,150000,2026-08-12 07:17:41,2026-08-12 07:17:41
P207,a91a0ae1ddf790803f1f6269,2026-08-15 10:08:00,120000,2026-08-15 10:08:48,2026-08-15 10:08:48
P211,6c8e7102db123405565a6a88,2026-07-06 20:49:00,85000,2026-07-06 20:49:43,2026-07-06 20:49:43
P211,65054c2867ba4ee0e1b627ea,2026-08-20 13:39:00,85000,2026-08-20 13:39:37,2026-08-20 13:39:37
P211,2ef031ef70b2fe03834ba1f7,2026-07-18 20:18:00,35000,2026-07-18 20:18:49,2026-07-18 20:18:49
P211,ac95eda581410c836fd80d06,2026-07-16 17:10:00,150000,2026-07-16 17:10:17,2026-07-16 17:10:17
P211,3c4e9e009afc9c9b64892ff7,2026-08-01 12:12:00,62000,2026-08-01 12:12:12,2026-08-01 12:12:12
P211,1a7f535ceed37ff5d9da5c04,2026-07-11 07:42:00,85000,2026-07-11 07:42:19,2026-07-11 07:42:19
P211,c9e03c34f03421f0a1af470d,2026-08-13 17:27:00,48000,2026-08-13 17:27:41,2026-08-13 17:27:41
P211,72d81f1488b6719ca42f7b3a,2026-08-28 11:41:00,35000,2026-08-28 11:41:05,2026-08-28 11:41:05
P212,8fe51decff7759a5eb261e34,2026-08-07 10:26:00,120000,2026-08-07 10:26:11,2026-08-07 10:26:11
P212,519ff369cf21bc2a0a492ea5,2026-07-21 11:27:00,120000,2026-07-21 11:27:49,2026-07-21 11:27:49
P212,1066e109a79cd32754f29037,2026-07-16 15:43:00,35000,2026-07-16 15:43:26,2026-07-16 15:43:26
P212,4db22cefdc29da8d68a1dc06,2026-08-27 20:09:00,120000,2026-08-27 20:09:07,2026-08-27 20:09:07
P212,3d2791ff3126576507ec3ca0,2026-07-11 18:36:00,85000,2026-07-11 18:36:31,2026-07-11 18:36:31
P212,8249c7c5c720284ce32f0cf5,2026-08-22 17:04:00,85000,2026-08-22 17:04:30,2026-08-22 17:04:30
P212,aae01d673e0a50f7cadfe62c,2026-08-18 20:04:00,150000,2026-08-18 20:04:45,2026-08-18 20:04:45
P212,80452affb4512fe5bf764494,2026-08-22 16:15:00,150000,2026-08-22 16:15:28,2026-08-22 16:15:28
P213,e7dc6f8e64c58a286389ad6e,2026-07-10 20:27:00,120000,2026-07-10 20:27:37,2026-07-10 20:27:37
P213,63ffc8a14d24a6151a974fd6,2026-07-06 20:46:00,85000,2026-07-06 20:46:20,2026-07-06 20:46:20
P215,8403d478831ac13e9321ca46,2026-07-13 09:09:00,150000,2026-07-13 09:09:23,2026-07-13 09:09:23
P216,0c85df6fd02eb59d1da1b8ec,2026-08-16 10:40:00,150000,2026-08-16 10:40:50,2026-08-16 10:40:50
P216,c8228425214d8e8d93f3f663,2026-08-10 10:02:00,120000,2026-08-10 10:02:41,2026-08-10 10:02:41
P216,38cf474c6c9a33e3eb066e78,2026-07-21 11:02:00,120000,2026-07-21 11:02:29,2026-07-21 11:02:29
P216,d0d16001488ce2b00f41f031,2026-07-22 13:49:00,210000,2026-07-22 13:49:21,2026-07-22 13:49:21
